epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,4155.85,1.49478,1.12859,1.27717,0.74543,0.7497,0.75459,0.36349,1.88355,1.27555,1.7331,0.000315059,0.000315059,0.000315059
101,4197.45,1.47947,1.11263,1.27397,0.75206,0.73657,0.74241,0.35241,1.88862,1.26133,1.7477,0.00030906,0.00030906,0.00030906
102,4238.54,1.49834,1.11466,1.27748,0.76332,0.74565,0.75589,0.35487,1.88366,1.2628,1.71296,0.000303061,0.000303061,0.000303061
103,4279.81,1.47203,1.10371,1.2866,0.76906,0.72902,0.76733,0.36893,1.87377,1.2709,1.71209,0.000297061,0.000297061,0.000297061
104,4320.87,1.48899,1.10397,1.27495,0.7423,0.74665,0.74333,0.35667,1.88285,1.26846,1.71385,0.000291062,0.000291062,0.000291062
105,4361.82,1.46577,1.11325,1.26375,0.75109,0.7495,0.76679,0.37803,1.85501,1.25585,1.70346,0.000285062,0.000285062,0.000285062
106,4403.75,1.46564,1.09297,1.26478,0.77424,0.73838,0.75858,0.37355,1.84866,1.26666,1.70114,0.000279063,0.000279063,0.000279063
107,4444.73,1.46095,1.09499,1.24897,0.76829,0.74926,0.75447,0.37219,1.85453,1.25635,1.70967,0.000273064,0.000273064,0.000273064
108,4485.88,1.44925,1.07194,1.25361,0.75275,0.75228,0.76137,0.37383,1.86728,1.22177,1.71845,0.000267064,0.000267064,0.000267064
109,4526.89,1.45737,1.09658,1.25402,0.77135,0.73553,0.75296,0.36472,1.86775,1.24262,1.72239,0.000261065,0.000261065,0.000261065
110,4567.79,1.45557,1.05931,1.2373,0.77195,0.73546,0.75845,0.37162,1.8778,1.26374,1.73556,0.000255065,0.000255065,0.000255065
111,4608.96,1.42152,1.03763,1.24278,0.76929,0.75262,0.76179,0.37198,1.86809,1.23011,1.74136,0.000249066,0.000249066,0.000249066
112,4650.92,1.4414,1.04438,1.24458,0.7883,0.75414,0.77589,0.37884,1.8549,1.20833,1.72934,0.000243067,0.000243067,0.000243067
113,4692.7,1.4371,1.04161,1.23775,0.76117,0.74001,0.75454,0.37157,1.88412,1.24365,1.74639,0.000237067,0.000237067,0.000237067
114,4734,1.41117,1.03395,1.24388,0.74674,0.76008,0.7551,0.36501,1.87715,1.23496,1.74441,0.000231068,0.000231068,0.000231068
115,4775.1,1.44066,1.03929,1.23805,0.75789,0.74521,0.76201,0.3679,1.86185,1.23407,1.74439,0.000225068,0.000225068,0.000225068
116,4816.18,1.42769,1.02757,1.25539,0.77176,0.73381,0.75993,0.36841,1.88699,1.23982,1.76103,0.000219069,0.000219069,0.000219069
117,4857.39,1.41772,1.01781,1.22819,0.78342,0.76503,0.77135,0.36596,1.8749,1.20676,1.77119,0.00021307,0.00021307,0.00021307
118,4899.29,1.42215,1.00525,1.23808,0.78056,0.75977,0.77582,0.37437,1.87866,1.20474,1.77146,0.00020707,0.00020707,0.00020707
119,4940.57,1.39849,1.01004,1.23979,0.77864,0.75668,0.76515,0.37308,1.86918,1.21128,1.74878,0.000201071,0.000201071,0.000201071
120,4981.59,1.41962,1.01091,1.22859,0.76226,0.76491,0.7657,0.37323,1.87536,1.21765,1.75701,0.000195071,0.000195071,0.000195071
121,5023.12,1.41527,0.99368,1.2153,0.77006,0.75174,0.76777,0.3762,1.86139,1.2071,1.7454,0.000189072,0.000189072,0.000189072
122,5064.91,1.404,0.9932,1.21713,0.76777,0.76812,0.76211,0.37035,1.85149,1.20136,1.73522,0.000183073,0.000183073,0.000183073
123,5106.75,1.41235,0.99126,1.22115,0.77592,0.73925,0.76702,0.38352,1.84523,1.20243,1.75558,0.000177073,0.000177073,0.000177073
124,5150.64,1.39891,0.96668,1.22263,0.7678,0.7614,0.77352,0.3829,1.86313,1.20673,1.75422,0.000171074,0.000171074,0.000171074
125,5192.2,1.40406,0.98705,1.20828,0.77517,0.74614,0.76468,0.37994,1.86855,1.20701,1.76586,0.000165074,0.000165074,0.000165074
126,5233.68,1.39735,0.98874,1.22396,0.76622,0.75302,0.76409,0.37233,1.87408,1.2131,1.77304,0.000159075,0.000159075,0.000159075
127,5275.47,1.38034,0.97484,1.22543,0.77149,0.75334,0.76155,0.38046,1.84951,1.19742,1.74925,0.000153076,0.000153076,0.000153076
128,5316.75,1.3704,0.94731,1.21755,0.77168,0.74264,0.76217,0.38555,1.84686,1.20038,1.75793,0.000147076,0.000147076,0.000147076
129,5358.2,1.36827,0.94535,1.2107,0.76432,0.75232,0.76124,0.38002,1.86277,1.20004,1.78055,0.000141077,0.000141077,0.000141077
130,5399.35,1.389,0.9394,1.21635,0.76623,0.75369,0.76457,0.38655,1.84839,1.19388,1.75841,0.000135077,0.000135077,0.000135077
131,5440.64,1.36086,0.93826,1.2163,0.75262,0.75991,0.75957,0.38067,1.8566,1.19291,1.76979,0.000129078,0.000129078,0.000129078
132,5481.69,1.3744,0.94868,1.21843,0.74735,0.75268,0.76099,0.38231,1.85132,1.20818,1.77106,0.000123079,0.000123079,0.000123079
133,5523.59,1.35385,0.92647,1.20158,0.75655,0.77058,0.76317,0.3824,1.85732,1.18653,1.7721,0.000117079,0.000117079,0.000117079
134,5565.11,1.3483,0.92059,1.199,0.76447,0.74573,0.75222,0.3725,1.8774,1.21541,1.79616,0.00011108,0.00011108,0.00011108
135,5606.54,1.35471,0.93463,1.1949,0.77773,0.76187,0.76044,0.37841,1.85065,1.18851,1.7815,0.00010508,0.00010508,0.00010508
136,5647.78,1.34975,0.93215,1.20379,0.78372,0.74761,0.76445,0.37963,1.86392,1.20359,1.79497,9.9081e-05,9.9081e-05,9.9081e-05
137,5688.94,1.35962,0.917,1.19614,0.77401,0.76035,0.76949,0.38522,1.8462,1.18142,1.76639,9.30816e-05,9.30816e-05,9.30816e-05
138,5730.66,1.34768,0.92058,1.20563,0.76293,0.75671,0.76153,0.37831,1.83951,1.19203,1.75987,8.70822e-05,8.70822e-05,8.70822e-05
139,5772.51,1.3449,0.91509,1.19736,0.78443,0.75704,0.76893,0.38298,1.85321,1.18111,1.77741,8.10828e-05,8.10828e-05,8.10828e-05
140,5813.8,1.32263,0.90148,1.19014,0.76713,0.75813,0.76414,0.38336,1.8607,1.18754,1.79367,7.50834e-05,7.50834e-05,7.50834e-05
141,5856.21,1.39102,0.8829,1.22911,0.75277,0.75705,0.74246,0.36886,1.85483,1.19021,1.7897,6.9084e-05,6.9084e-05,6.9084e-05
142,5896.79,1.34905,0.85669,1.21886,0.7726,0.72211,0.74089,0.3663,1.84734,1.19561,1.76647,6.30846e-05,6.30846e-05,6.30846e-05
143,5937.7,1.33967,0.84018,1.21151,0.77815,0.74067,0.75956,0.37571,1.84327,1.18602,1.77245,5.70852e-05,5.70852e-05,5.70852e-05
144,5978.65,1.3259,0.82479,1.21453,0.7819,0.74035,0.76002,0.37982,1.83582,1.18357,1.76288,5.10858e-05,5.10858e-05,5.10858e-05
145,6019.73,1.32627,0.82361,1.21696,0.78358,0.74092,0.75802,0.37965,1.84663,1.17792,1.77554,4.50864e-05,4.50864e-05,4.50864e-05
146,6060.46,1.30358,0.82546,1.20371,0.79826,0.73648,0.76326,0.3794,1.83952,1.17469,1.77047,3.9087e-05,3.9087e-05,3.9087e-05
147,6101.3,1.32132,0.82253,1.19962,0.79308,0.74008,0.76478,0.37955,1.8405,1.18692,1.76825,3.30876e-05,3.30876e-05,3.30876e-05
148,6141.94,1.30123,0.80342,1.20004,0.78399,0.73843,0.75632,0.37707,1.84495,1.1875,1.78384,2.70882e-05,2.70882e-05,2.70882e-05
149,6182.69,1.30192,0.80635,1.19404,0.77524,0.75114,0.76395,0.38227,1.83588,1.17495,1.78086,2.10888e-05,2.10888e-05,2.10888e-05
150,6223.29,1.29267,0.80199,1.19012,0.78107,0.74416,0.76042,0.38043,1.84035,1.17231,1.78717,1.50894e-05,1.50894e-05,1.50894e-05
